wallet_number,contract_function,label,public_key,tx_hash,tx_link,status
1,"register_institution","Madras University Arts and Science Trust","GB4LAYWX3MYR5KGRVEEQDF56TMYTTBNQYKEGT7COL55Y3IH5KPE247KK","840a3a406717c1b2bae987958da9c6511697839e0a84e42c95592b4a01ff443b","https://stellar.expert/explorer/testnet/tx/840a3a406717c1b2bae987958da9c6511697839e0a84e42c95592b4a01ff443b","SUCCESS"
2,"register_institution","IGNOU Global Distance Learning Board","GCYCHN3JQDGXKNFNOH4FV75OPWMLKW2FVSDJFKSCW4G4NRF5ALMULOYG","3e372fc1621ce1b201c5e5348783d6123f39ac51cdd4528a240849756c17ca8f","https://stellar.expert/explorer/testnet/tx/3e372fc1621ce1b201c5e5348783d6123f39ac51cdd4528a240849756c17ca8f","SUCCESS"
3,"verify_credential","Logistics and supply chain management verification","GDCFGOKUSZVPWVSIL7ETBR7YMK2XVHJLQFPSIHZ2BGTX3EGM636GV5MM","5384703a76331fe65f5633021506502147e6efd6dd1b1a6418695cc0f588b5c7","https://stellar.expert/explorer/testnet/tx/5384703a76331fe65f5633021506502147e6efd6dd1b1a6418695cc0f588b5c7","SUCCESS"
4,"credential_exists","Government employment credential audit Q","GAURJHSFXTO73KQXO462KDHXM6CKPX5JINFG4PUQNPQUH5WGDF4NL6IS","d0ded08b1a1a6ab569998716832e9ec76f6d2621e82856c64ccc8a0c8c0eba2b","https://stellar.expert/explorer/testnet/tx/d0ded08b1a1a6ab569998716832e9ec76f6d2621e82856c64ccc8a0c8c0eba2b","SUCCESS"
